Stadt;Fläche km2;Einwohner;PLZ;Längengrad;Breitengrad;Bundesland
Flensburg;56.73;91113;24937;9,43751;54,78252;Schleswig-Holstein
Kiel;118.65;246243;24103;10,13727;54,321775;Schleswig-Holstein
Lübeck;214.19;216277;23539;10,683932;53,866269;Schleswig-Holstein
Neumünster;71.66;79496;24534;9,988422;54,069895;Schleswig-Holstein
Brunsbüttel;65.21;12381;25541;9,13735;53,896932;Schleswig-Holstein
Heide;31.97;21844;25746;9,091156;54,193962;Schleswig-Holstein
Averlak;9.06;558;25715;9,182663;53,941154;Schleswig-Holstein
Brickeln;6.07;198;25712;9,221166;54,00849;Schleswig-Holstein
Buchholz;14.56;988;25712;9,223774;53,987132;Schleswig-Holstein
Burg (Dithmarschen);11.25;4184;25712;9,26246;53,99748;Schleswig-Holstein
Dingen;7.01;632;25715;9,125804;53,960888;Schleswig-Holstein
Eddelak;9.21;1345;25715;9,137433;53,945888;Schleswig-Holstein
Eggstedt;12.79;758;25721;9,25927;54,054535;Schleswig-Holstein
Frestedt;10.33;345;25727;9,175759;54,023639;Schleswig-Holstein
Großenrade;10.4;468;25712;9,223435;54,02206;Schleswig-Holstein
Hochdonn;5.46;1078;25712;9,293145;54,019564;Schleswig-Holstein
Kuden;11.37;605;25712;9,192822;53,967853;Schleswig-Holstein
Quickborn;6.95;174;25712;9,206618;54,009984;Schleswig-Holstein
Sankt Michaelisdonn;23.06;3498;25693;9,122148;53,994438;Schleswig-Holstein
Süderhastedt;15.74;758;25727;9,20886;54,04991;Schleswig-Holstein
Diekhusen-Fahrstedt;7.46;697;25709;9,023165;53,946249;Schleswig-Holstein
Friedrichskoog;53.27;2494;25718;8,89741;54,013926;Schleswig-Holstein
Helse;11.44;826;25709;9,010226;53,977556;Schleswig-Holstein
Kaiser-Wilhelm-Koog;13.05;361;25709;8,926364;53,942933;Schleswig-Holstein
Kronprinzenkoog;28.84;854;25709;8,964528;53,97171;Schleswig-Holstein
Marne;4.83;6061;25709;9,008761;53,953695;Schleswig-Holstein
